,time of sampling,date of sampling,MN's MAC Address,Temperature. and Moisture
1,11:24:55,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
2,11:24:55,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
3,11:24:55,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
4,11:24:55,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
5,11:24:55,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
6,11:24:55,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
7,11:24:55,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
8,11:24:55,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
9,11:24:55,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
10,11:24:55,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
11,11:24:55,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
12,11:24:55,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
13,11:24:55,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
14,11:24:55,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
15,11:24:55,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
16,11:24:55,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
17,11:24:55,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
18,11:24:55,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
19,11:24:55,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
20,11:24:55,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
21,11:24:55,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
22,11:24:55,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
23,11:24:55,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
24,11:24:55,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
25,11:24:55,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
26,11:24:55,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
27,11:24:55,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
28,11:24:55,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
29,11:24:55,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
30,11:24:55,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
31,11:24:55,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
32,11:24:55,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
33,11:24:55,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
34,11:24:55,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
35,11:24:55,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
36,11:37:24,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.46716321926  moisture: 317'
37,11:37:24,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.46716321926  moisture: 317'
38,11:37:24,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.46716321926  moisture: 317'
39,11:37:24,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.46716321926  moisture: 317'
40,11:37:24,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.46716321926  moisture: 317'
41,11:37:24,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.46716321926  moisture: 317'
42,11:37:24,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.46716321926  moisture: 317'
43,11:37:24,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.46716321926  moisture: 317'
44,11:37:24,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.46716321926  moisture: 317'
45,11:37:24,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.46716321926  moisture: 317'
46,11:37:24,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.46716321926  moisture: 317'
47,11:37:24,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.46716321926  moisture: 317'
48,11:37:24,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.46716321926  moisture: 317'
49,11:37:24,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.46716321926  moisture: 317'
50,11:37:24,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.46716321926  moisture: 317'
51,11:37:24,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.46716321926  moisture: 317'
52,11:37:24,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.46716321926  moisture: 317'
53,11:37:24,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.46716321926  moisture: 317'
54,11:37:24,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.46716321926  moisture: 317'
55,11:37:24,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.46716321926  moisture: 317'
56,11:37:24,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.46716321926  moisture: 317'
57,11:37:24,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.46716321926  moisture: 317'
58,11:37:24,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.46716321926  moisture: 317'
59,11:37:24,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.46716321926  moisture: 317'
60,11:37:24,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.46716321926  moisture: 317'
61,11:37:24,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.46716321926  moisture: 317'
62,11:37:24,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.46716321926  moisture: 317'
63,11:37:24,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.46716321926  moisture: 317'
64,11:37:24,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.46716321926  moisture: 317'
65,11:37:24,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.46716321926  moisture: 317'
66,11:37:24,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.46716321926  moisture: 317'
67,11:37:24,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.46716321926  moisture: 317'
68,11:37:24,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.46716321926  moisture: 317'
69,11:37:24,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.46716321926  moisture: 317'
70,11:37:24,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.46716321926  moisture: 317'
71,11:38:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
72,11:38:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
73,11:38:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
74,11:38:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
75,11:38:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
76,11:38:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
77,11:38:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
78,11:38:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
79,11:38:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
80,11:38:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
81,11:38:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
82,11:38:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
83,11:38:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
84,11:38:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
85,11:38:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
86,11:38:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
87,11:38:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
88,11:38:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
89,11:38:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
90,11:38:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
91,11:38:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
92,11:38:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
93,11:38:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
94,11:38:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
95,11:38:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
96,11:38:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
97,11:38:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
98,11:38:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
99,11:38:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
100,11:38:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
101,11:38:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
102,11:38:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
103,11:38:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
104,11:38:06,6/18/2021,B8:27:EB:55:04:6A,b'temp: 25.04829444948  moisture: 317'
